Date,Product Name,Category,Opening Stock,Purchases,Sales,Returns,Stock Adjustments,Closing Stock,Revenue,Costs,Profit
01-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,94,0,0,0,0,94,0,0,0
02-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,94,0,61,2,-2,33,51850,0,51850
03-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,33,88,41,1,-2,79,34850,30800,4050
04-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,79,0,5,5,1,80,4250,0,4250
05-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,80,0,0,0,0,80,0,0,0
06-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,80,0,72,3,2,13,61200,0,61200
07-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,13,0,3,1,-1,10,2550,0,2550
08-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,0,0,0,10,0,0,0
09-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,0,0,0,10,0,0,0
10-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,10,1,2,3,8500,0,8500
11-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,3,43,29,5,4,26,24650,15050,9600
12-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,26,0,20,5,-1,10,17000,0,17000
13-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,4,4,3,13,3400,0,3400
14-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,13,0,1,7,2,21,850,0,850
15-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,21,0,0,0,0,21,0,0,0
16-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,21,0,18,6,4,13,15300,0,15300
17-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,13,0,0,2,-4,11,0,0,0
18-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,11,0,3,4,0,12,2550,0,2550
19-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,12,0,9,2,1,6,7650,0,7650
20-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,0,0,0,0,6,0,0,0
21-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,6,74,20,1,2,63,17000,25900,-8900
22-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,63,0,0,0,0,63,0,0,0
23-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,63,0,53,4,0,14,45050,0,45050
24-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,14,0,5,0,-2,7,4250,0,4250
25-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,7,0,5,0,3,5,4250,0,4250
26-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,5,7,-2,5,4250,0,4250
27-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,5,0,5,3,-2,1,4250,0,4250
28-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,1,0,1,5,-5,0,850,0,850
29-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,0,0,0,0,0,0
30-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,69,32,4,2,43,27200,24150,3050
31-12-2023,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,43,0,42,2,-5,0,35700,0,35700
01-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,0,0,0,0,0,0
02-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,0,0,0,1,3,4,0,0,0
03-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,4,0,1,6,1,10,850,0,850
04-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,10,0,8,1,4,7,6800,0,6800
05-01-2024,Fold / Flip Sheet 4 in 1 2/ 3 / 4 / 5,Hardware,7,0,0,0,0,7,0,0,0
